Sehir,Turizm / Otelcilik,Teknoloji / Yazılım,Sanayi / Üretim,Tarım ve Hayvancılık,Sağlık,Enerji,Konut & İnşaat,Lojistik,Perakende,Eğitim Kurumları,Gıda İşleme,Finans,Otomotiv,Mobilya,Telekom,Çevre / Atık,Sosyal Hizmetler,Kültür & Sanat,Ulaşım
Adana,37.357929600110346,36.97452702116285,36.166482571437925,41.61507831150695,51.299471305929686,30.867874957722425,33.799813570868146,54.478455738885614,35.598632218811176,33.80992105925989,43.102722207870286,35.14906003375386,34.72450022033776,24.464149000827934,36.86240023781863,37.710437941052504,58.41169917896759,37.07981680178281,45.11079250803977
Adıyaman,33.96270954247548,30.946852614322957,15.844877767616191,27.960404395701637,81.61436483614955,17.993479101345873,24.904036980255203,20.73581807352438,16.19003276351176,24.696173451346382,16.399699355159388,16.06470449192483,11.604951782263969,8.985814114597623,31.06078708348598,81.50373519555755,81.3068276632223,30.269141655080606,72.59577391426663
Afyonkarahisar,38.578503191378196,42.234222033135865,55.571816406849564,48.03015237220571,32.054527387416066,47.810490469160406,39.081278193757655,81.72070717975754,37.721403149054254,36.84306323594203,59.16904727949901,49.138289981780154,56.08938787722082,30.19043419986468,38.9570573854736,23.30040188521652,38.39244477591344,42.047173222322044,34.052121367262515
Ağrı,40.90450756400307,35.521707433035516,27.985307770516144,32.93736780478288,66.77084237194732,25.657712294639385,27.94159308052842,43.48889329547643,18.505850627745836,35.76997127732195,26.52552173396875,24.997797933745105,26.53267560944808,13.647056259349155,38.240137899213366,75.22675040422338,68.66571952280569,41.43899292382741,60.978015940645804
Aksaray,35.203648239478234,35.98448854974479,38.80700588503587,34.13332085350273,52.30824681662148,35.906966255645685,37.08065032308318,49.57387801462361,28.35305692171112,29.845613347928214,34.64598982429952,35.04072309927234,36.79456793875616,20.547644773050454,33.23597980968503,42.78488192046876,56.48841934658636,38.14434994002715,63.247386863962205
Amasya,39.682962236792186,43.07896403957198,43.35360427726794,39.73273063623864,31.553238332522948,39.073776825109725,39.31032432673033,69.6172937680452,40.89913855675137,38.78199091452476,44.42636723456386,40.17280312585779,41.78531306287873,24.046401168882284,41.391029472617724,16.434792830299507,39.5843839189329,43.255023811366925,32.95440129589382
Ankara,53.40375018443149,50.26357080198912,62.41897379390865,63.533233705899164,30.423908777470608,64.276376631464,66.37335683503306,76.33289228484902,60.88413785393677,39.16711961297922,68.74650785524987,54.79035769379112,59.88987046888128,51.38673364439848,45.67183131960611,16.491530358419855,35.373790671953905,46.00290531475015,49.85842803190999
Antalya,47.153900199069675,47.70687686610226,48.11816144281816,44.60898785387637,46.44771281442803,44.35419318617133,54.41065333956578,66.58407802460722,48.12140823768445,32.73993025992365,47.64866800039229,45.108893266409325,44.52672064938695,36.31099470395648,41.00193955786233,23.641381901432716,44.45347059857537,40.01749867830464,54.95580930005934
Ardahan,32.476109975439456,36.84330237257829,35.7047433602416,25.897486122746276,57.1062438142133,33.02010171139984,28.69163565511139,46.62412008756026,20.429208878946316,27.985929866325392,27.2191137566651,33.94255510887564,33.43020342509736,19.805086098955044,32.8601314801644,74.30827698981908,59.37006378526121,33.32449086996666,55.843321121779525
Artvin,31.54332169947875,39.786347252374036,51.270720988158445,29.94001460402913,34.55965037391658,44.41483032426128,34.12723179620475,74.30333319320233,37.16816066786162,30.60489725779851,43.21936442475042,47.13379571901491,50.92321171665291,28.382373844154923,34.49669233877004,28.978162300349485,42.45158455059449,33.76997367759351,29.948356191499677
Aydın,38.27808935497583,38.7225890123194,51.517230089772006,41.38626633580838,29.7784983808981,45.43915098770938,41.98718844835083,79.13220247572218,43.11614762470079,32.69454371742688,52.02879038910693,45.78162423864803,50.13364498145937,29.760217808991328,36.8967961028294,17.976539741626123,42.2368707139524,38.4079836142716,35.243392732911
Balıkesir,36.52974890316777,38.52243661485202,53.32882675119129,40.43857732316048,27.3535394525525,47.49334172698836,40.71874473387095,81.5122092854915,43.5549389509309,31.057965062531313,52.89658295868887,47.19465751457848,52.03082870864376,30.807862226161852,35.72889958961008,21.424311383725748,40.547708628768945,36.20075594407771,30.973573223444305
Bartın,32.51081097675425,38.92603288774954,52.36280359453714,29.80154032720695,33.20969527111126,46.08096089083611,36.62867337659824,77.94498503991402,38.2040752712622,30.05471792420964,43.44351520535444,46.35067355730717,52.18740873337022,27.503702626182335,34.076222851029506,23.083372174880594,41.82652426445318,33.99877375354298,29.099556156502647
Batman,46.75603680207975,37.43404002894115,23.739352277216614,33.42233487579215,67.92111766686808,24.1696318850171,35.58219215031527,46.36236616386397,29.917775290159497,38.13790818900078,23.52618716475537,21.750786688859385,19.645937847061056,10.099306642548909,44.264407007415194,41.32044756583086,73.00281676897508,42.861977884946846,58.927656970004605
Bayburt,38.124960036868195,40.586539430050635,43.743849789441235,28.902314779630732,49.55961378560874,39.57910477777082,34.36343822368742,60.41964263730437,26.53716472202977,33.57519537036302,32.51589582840467,39.204766628777264,42.565773477215366,22.717631947215704,37.281364303973035,58.068956401012926,51.150367551902875,40.16766956919297,53.024003943179586
Bilecik,39.522186481187724,45.98660351641468,38.10210671134722,36.26622004999124,29.023536797425862,34.327371005848306,38.56983859730497,61.168826986557534,42.15981021104655,41.90750524888102,38.28658510648893,38.94846905505147,35.44690461414332,23.912692375748556,43.922685475052624,16.801526629538692,36.52842736904502,45.453440173250435,32.70213183075649
Bingöl,38.90508278378487,36.90861528470756,32.60013355757838,27.03327383277823,59.163729892990766,30.850020917168308,31.45006746253774,46.96034974241017,23.63520861693767,33.09576601898112,23.918345876595765,30.072323949919046,29.82409343407562,16.280739245422875,37.50626511892147,65.52396797553652,63.1716580668825,39.623899549361255,61.50935890719658
Bitlis,42.94467115575246,39.339892380679146,31.094373352973903,31.317360905312942,65.47188071590021,29.598683452500126,33.694622919475414,46.04094958550009,24.015989478419232,35.749390627959535,25.36070058372043,28.223433462924376,28.566786352292166,15.483582412929481,40.24534126051631,60.40730264961325,64.91018590881417,42.31244763526449,64.34754995550487
Bolu,34.962315331200635,41.192003477232795,55.06003468948181,37.956797387895904,33.804114610093094,48.253722003683045,40.4201313932526,77.05572662996605,38.38619443315332,32.5853530779424,50.81820287969753,48.81732658459903,55.22249575295395,29.984053842428587,35.54441959514054,14.239726158979618,38.97895816489105,38.20457419776041,36.96929702132961
Burdur,32.07280233875148,39.92471621368783,47.24262809731459,33.27902274727838,42.74852282677649,41.957113279933324,37.48710734305796,65.23522279717817,36.039775380314765,29.08064487390383,42.41637807684924,43.57430192713857,46.354372630431854,26.767092434773822,33.670335977083845,25.130688789341548,46.88677442607469,33.15660094867174,39.33794182165315
Bursa,46.60938356626932,56.02701134574322,64.42696567827325,41.152960079375404,19.83814246631759,56.294828971305776,46.79204987985961,83.44578640363892,56.77745353808571,50.9425287749479,53.9523652389709,66.28356701976305,62.36885093401159,47.21049743770151,54.14037742051683,18.56535545827564,28.08778951189657,52.34177078343409,33.63178843777845
Çanakkale,33.51914683125946,38.11814097174662,57.56519098073046,37.082213235778255,27.43470691332867,50.36396169923696,36.78588315288815,82.09654444070992,38.3674664226644,30.819047583866432,52.15359432886447,50.679108798021055,57.262489049461315,30.43086381459419,34.182658564876974,26.913280744666356,39.182105720190805,36.912842174169214,35.31192121773057
Çankırı,30.617627159435422,34.74879361301234,40.460743177456536,32.2653187957777,45.23005091214559,37.191115179884925,32.278274089119485,58.240091854809585,31.357347042169216,26.426918062243267,38.15499343205484,36.9074991454994,38.43301705651201,21.079927200535682,31.48293859178079,38.319212967920976,54.52055429539331,31.241197070269,43.90710840730511
Çorum,30.464059742918003,32.2335552752288,41.80049264381072,39.29034617329252,39.83901880070797,38.03497192722727,36.161095399241326,63.28035889946909,36.305078399816125,26.85217313460696,46.196978340221875,36.87533117170712,40.40455477444404,21.3023298927212,30.77602388679031,17.792183321428766,53.63079443389467,31.58247329800481,38.55113920183438
Denizli,35.31129082255942,40.50967703481177,52.903729495122796,45.35173162008393,36.29115822766201,46.66862373595379,40.87078906076898,72.52259058339929,39.609531249996216,32.00570581905868,56.01033376676858,47.23931764023715,52.79026700477994,30.619295690770777,34.98520997758232,12.732747967282549,41.342682503153895,37.80215771217984,40.46080633555701
Diyarbakır,44.14148454502826,34.68645167299055,27.55091482453421,44.294514776129226,58.88770006190652,25.361272429170068,34.41491637007177,50.43657203998841,31.46865632113609,39.00597674408075,37.72776736389228,25.15928321023444,25.23106848204324,14.638701407240648,41.93284732493133,36.85604151024845,69.15278117488431,43.143476772828,52.10144984496425
Düzce,33.41123195713245,41.431158092038736,38.487524589258,29.743962123567197,59.04328529113019,35.71290027447458,33.31829623089632,44.979790411156465,25.929965769891712,27.547430824747575,31.195988048341533,37.570035601617334,36.15504955823366,24.562079095340625,33.47263052797024,61.720086715286726,55.86745675479491,32.903432089619855,59.20730074040008
Edirne,30.492491000586902,39.24197697494052,52.38007331729938,41.18394654519766,36.56453029887484,46.19143551226744,37.62933891204145,71.41626794199544,36.159879357679344,27.540112567256216,53.562871001331736,47.05664711201022,52.22110503800648,29.52134146198745,31.503658400207087,22.09840098350716,41.5698938003864,32.40728585152608,36.09648909061546
Elazığ,36.160301529375914,33.44553142346625,29.654879881440138,25.478324801256306,57.84497294260484,29.29050193852244,30.493350628209747,49.88675545944562,27.873483449800258,28.51713915349926,23.708292003481354,26.705099620837576,26.452299268031904,15.063038672073581,34.85439555350051,60.788635479485464,66.73951058853726,32.428554056318525,47.90455163207703
Erzincan,36.81154921406358,36.9163444159614,44.287000071804684,34.18214135365049,40.44029108745957,39.89265796344723,34.619253876712094,68.31307673295693,33.25487955958567,33.23388717757249,40.56147149353432,38.87366159555842,43.074657280814215,21.57582805544877,36.76422559609998,32.29981944843843,50.90161232414935,38.647644169497745,41.52650792939041
Erzurum,36.88561143572664,38.56783829628811,39.52861519945564,32.27817116682325,54.68884981664994,34.87280921050227,33.9663917598112,51.83102403031283,26.978882071643547,33.803892869200155,33.40582952120229,36.43244011027845,38.960642262501,23.1379493002298,35.82222114053428,57.09246882240425,55.75704892327637,39.69317512415193,55.8744963810818
Eskişehir,37.58645696253732,39.635808833539166,47.74359976209169,45.430730736438505,39.42643786182452,44.346249679323506,43.145597632216834,70.2166467289765,42.98083940515725,31.797813804035513,51.89137783524078,42.263249788100694,46.17985040563867,26.942664479202925,36.88284861409029,10.041551172688127,47.46906488313144,36.74713982330083,39.695652438870816
Gaziantep,49.990169791730565,45.46948987491115,48.76760107023173,45.14817683717126,40.47371459037208,42.19788340307098,44.570890523262314,75.54436274082218,41.92787533973125,46.73962493166829,48.8195198044575,44.104399150729776,48.54391941063605,29.933039324036965,48.14826159708285,21.595625174473078,46.091134975959505,51.54809604006113,42.81109471640727
Giresun,38.53054669762738,40.57350821221444,53.12042591079822,36.28635412365481,32.79411909435459,46.17056054790252,36.311927930607084,81.02789273013056,38.02563038994709,35.913475634363536,47.533235406847176,46.748330678630424,52.8152218399661,27.343316199491106,38.81910717663244,27.73090214371733,40.92680947468651,41.422825195156236,34.79673485800676
Gümüşhane,40.064097523601355,44.83886531624791,47.85338177362273,29.934924574465605,33.94576838304174,39.46418710803719,32.18281521402883,69.42588022940829,37.67309680150781,45.12606966832641,37.202598495498364,48.97964243635619,46.27983980229695,28.183038910560633,46.787635848941655,40.10185152265965,45.1430268627022,47.56439987990932,39.33672033451696
Hakkari,37.27599092509112,28.678504759682994,8.93763223935569,19.33427220280568,88.098212912255,13.03703865172359,24.347049718807156,14.20194616182714,15.393583555665241,26.75637143314772,2.4959711400746984,9.695884089176712,2.9829019258217917,1.9046606985664132,33.5658546295856,82.92324747161788,88.81006810066215,34.203123638903875,83.88491975245167
Hatay,32.85187169757954,29.442309137218025,29.662406585378132,29.774542605884868,57.54789458523545,25.28522968308683,29.250207082435587,49.34322340944146,29.22127957967634,29.342649262111546,31.32375129691854,26.27485461971874,29.70275002657229,17.866344374725934,30.826758561872136,42.10290693949959,66.83299183928382,31.94460821082896,40.82328981090916
Iğdır,40.787583557762744,41.44132190735572,37.44782964325972,27.174499699360783,58.76764546590783,34.09420990416873,29.489239439722887,47.515433568626925,18.737056631541947,36.439192850576816,24.8270026241037,35.452151520870466,35.30451025477886,20.416206671207398,39.729282679023584,86.71734987911435,57.506416537994994,44.046967060731,67.6372351514673
Isparta,36.67188494128787,40.605338855452686,57.3376427364926,38.11182548217364,27.328464728789776,49.706736267587495,38.631143127120815,84.37744562107797,39.17056907224071,35.457655397675616,52.262489983674755,50.1341263681091,57.818867934828845,29.837595949170982,37.48630707964455,18.166787721817855,36.75873701824906,41.0820583313313,32.1711513761637
İstanbul,47.935686045779136,56.078327126905045,76.73001001062683,30.722405539414428,24.44968839689269,73.96609659315199,63.62069517992911,63.08974476311445,77.0574108604743,62.07795840390708,52.87682722167122,76.45456618729358,84.67981017468755,91.07690474742846,51.93437002720835,18.783810571451017,28.464517541290345,51.78826027704873,11.369001921318995
İzmir,48.10343996811305,53.649538444518086,55.049085880840884,46.1570117947245,42.93914331786293,51.96593031238166,56.137985617024164,70.54333591515496,50.15284342089843,35.89398965280758,51.975573040558764,52.327067805823106,52.42565316861316,44.35406249180366,44.2483242375162,31.79399117407818,38.45848928425619,40.33019932079445,46.64854942135066
Kahramanmaraş,38.25879302000525,35.79490275245847,33.764360334560806,35.810391858391725,53.36248583910111,29.85020760127973,31.39253167013582,51.355174295172134,31.008820164548478,35.7632735488573,35.1150498662884,32.14686289565695,32.07211987107395,19.580362131581225,38.23470075044042,43.58984129380562,61.870754023475314,39.95381674899489,50.640700670125916
Karabük,35.093804520223344,34.932142339287026,45.07326966059143,29.508637289528927,33.5975344443509,40.28554167130684,36.0206417392148,73.9235691505228,39.94217234979299,32.77938928484998,38.801086886058044,39.56236504978721,43.849427922471335,21.424471234301297,36.37424228111386,13.482208492027056,50.11559290859782,36.785040396928714,31.743183897916133
