Sehir,Sira,Sektor,Skor
Çorum,3,Gıda İşleme,46.196978340221875
Çorum,4,Sanayi / Üretim,41.80049264381072
Çorum,5,Otomotiv,40.40455477444404
Denizli,1,Lojistik,72.52259058339929
Denizli,2,Gıda İşleme,56.01033376676858
Denizli,3,Sanayi / Üretim,52.903729495122796
Denizli,4,Otomotiv,52.79026700477994
Denizli,5,Finans,47.23931764023715
Diyarbakır,1,Sosyal Hizmetler,69.15278117488431
Diyarbakır,2,Sağlık,58.88770006190652
Diyarbakır,3,Ulaşım,52.10144984496425
Diyarbakır,4,Lojistik,50.43657203998841
Diyarbakır,5,Tarım ve Hayvancılık,44.294514776129226
Düzce,1,Çevre / Atık,61.720086715286726
Düzce,2,Ulaşım,59.20730074040008
Düzce,3,Sağlık,59.04328529113019
Düzce,4,Sosyal Hizmetler,55.86745675479491
Düzce,5,Lojistik,44.979790411156465
Edirne,1,Lojistik,71.41626794199544
Edirne,2,Gıda İşleme,53.562871001331736
Edirne,3,Sanayi / Üretim,52.38007331729938
Edirne,4,Otomotiv,52.22110503800648
Edirne,5,Finans,47.05664711201022
Elazığ,1,Sosyal Hizmetler,66.73951058853726
Elazığ,2,Çevre / Atık,60.788635479485464
Elazığ,3,Sağlık,57.84497294260484
Elazığ,4,Lojistik,49.88675545944562
Elazığ,5,Ulaşım,47.90455163207703
Erzincan,1,Lojistik,68.31307673295693
Erzincan,2,Sosyal Hizmetler,50.90161232414935
Erzincan,3,Sanayi / Üretim,44.287000071804684
Erzincan,4,Otomotiv,43.074657280814215
Erzincan,5,Ulaşım,41.52650792939041
Erzurum,1,Çevre / Atık,57.09246882240425
Erzurum,2,Ulaşım,55.8744963810818
Erzurum,3,Sosyal Hizmetler,55.75704892327637
Erzurum,4,Sağlık,54.68884981664994
Erzurum,5,Lojistik,51.83102403031283
Eskişehir,1,Lojistik,70.2166467289765
Eskişehir,2,Gıda İşleme,51.89137783524078
Eskişehir,3,Sanayi / Üretim,47.74359976209169
Eskişehir,4,Sosyal Hizmetler,47.46906488313144
Eskişehir,5,Otomotiv,46.17985040563867
Gaziantep,1,Lojistik,75.54436274082218
Gaziantep,2,Kültür & Sanat,51.54809604006113
Gaziantep,3,Turizm / Otelcilik,49.990169791730565
Gaziantep,4,Gıda İşleme,48.8195198044575
Gaziantep,5,Sanayi / Üretim,48.76760107023173
Giresun,1,Lojistik,81.02789273013056
Giresun,2,Sanayi / Üretim,53.12042591079822
Giresun,3,Otomotiv,52.8152218399661
Giresun,4,Gıda İşleme,47.533235406847176
Giresun,5,Finans,46.748330678630424
Gümüşhane,1,Lojistik,69.42588022940829
Gümüşhane,2,Finans,48.97964243635619
Gümüşhane,3,Sanayi / Üretim,47.85338177362273
Gümüşhane,4,Kültür & Sanat,47.56439987990932
Gümüşhane,5,Telekom,46.787635848941655
Hakkari,1,Sosyal Hizmetler,88.81006810066215
Hakkari,2,Sağlık,88.098212912255
Hakkari,3,Ulaşım,83.88491975245167
Hakkari,4,Çevre / Atık,82.92324747161788
Hakkari,5,Turizm / Otelcilik,37.27599092509112
Hatay,1,Sosyal Hizmetler,66.83299183928382
Hatay,2,Sağlık,57.54789458523545
Hatay,3,Lojistik,49.34322340944146
Hatay,4,Çevre / Atık,42.10290693949959
Hatay,5,Ulaşım,40.82328981090916
Iğdır,1,Çevre / Atık,86.71734987911435
Iğdır,2,Ulaşım,67.6372351514673
Iğdır,3,Sağlık,58.76764546590783
Iğdır,4,Sosyal Hizmetler,57.506416537994994
Iğdır,5,Lojistik,47.515433568626925
Isparta,1,Lojistik,84.37744562107797
Isparta,2,Otomotiv,57.818867934828845
Isparta,3,Sanayi / Üretim,57.3376427364926
Isparta,4,Gıda İşleme,52.262489983674755
Isparta,5,Finans,50.1341263681091
İstanbul,1,Mobilya,91.07690474742846
İstanbul,2,Otomotiv,84.67981017468755
İstanbul,3,Perakende,77.0574108604743
İstanbul,4,Sanayi / Üretim,76.73001001062683
İstanbul,5,Finans,76.45456618729358
İzmir,1,Lojistik,70.54333591515496
İzmir,2,Konut & İnşaat,56.137985617024164
İzmir,3,Sanayi / Üretim,55.049085880840884
İzmir,4,Teknoloji / Yazılım,53.649538444518086
İzmir,5,Otomotiv,52.42565316861316
Kahramanmaraş,1,Sosyal Hizmetler,61.870754023475314
Kahramanmaraş,2,Sağlık,53.36248583910111
Kahramanmaraş,3,Lojistik,51.355174295172134
Kahramanmaraş,4,Ulaşım,50.640700670125916
